Address,Price,Daft URL
"Liffey Walk, North Lotts, Dublin 1",1500,https://www.daft.ie/for-rent/apartment-liffey-walk-north-lotts-dublin-1/3224964
"Marlborough Court, Dublin 1",1500,https://www.daft.ie/for-rent/apartment-marlborough-court-dublin-1/3254051
"Apartment 11, Block 1, Custom Hall, Dublin 1",1500,https://www.daft.ie/for-rent/apartment-apartment-11-block-1-custom-hall-dublin-1/3251263
"North Strand, Dublin 3",1500,https://www.daft.ie/for-rent/apartment-north-strand-dublin-3/3268478
"Bachelors Walk Quay, Dublin 1",1500,https://www.daft.ie/for-rent/apartment-bachelors-walk-quay-dublin-1/3175496
"588 North Circular Road, Dublin 7",1500,https://www.daft.ie/for-rent/apartment-588-north-circular-road-dublin-7/2627511
"Apartment 7, 32/33 Gardiner Street Upper, Dublin 1",1500,https://www.daft.ie/for-rent/apartment-apartment-7-32-33-gardiner-street-upper-dublin-1/3245767
"Apartment 4, Bradogue House, Wolfe Tone Street, Dublin 1",1500,https://www.daft.ie/for-rent/apartment-apartment-4-bradogue-house-wolfe-tone-street-dublin-1/2836970
"Flat 10, 17 Gardiner Place, Dublin 1",1500,https://www.daft.ie/for-rent/flat-flat-10-17-gardiner-place-dublin-1/3278433
"Marlborough Court, Dublin 1",1500,https://www.daft.ie/for-rent/apartment-marlborough-court-dublin-1/3270096
